Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,returned,return_prob
a,road,5,2,261,8,medium,f,1,3308,1,0,0.7238797358124008
b,road,6,2,153,5,low,f,1,4597,1,0,0.7344576528434203
b,ship,2,1,274,10,high,f,1,5622,0,1,0.7119546014985275
a,ship,3,3,213,10,medium,m,2,4847,0,1,0.735669548055717
f,ship,6,2,204,4,medium,f,2,4431,0,1,0.7048917392770302
c,ship,3,4,205,8,medium,m,1,4977,1,0,0.7126524151224287
f,ship,4,4,256,3,medium,m,1,5784,1,0,0.7250188433373711
d,ship,5,4,273,3,medium,f,2,5672,1,0,0.7271786754625276
a,road,5,5,232,4,low,m,3,5447,0,1,0.7019771688258635
b,road,5,3,194,4,low,f,2,5396,0,1,0.7121891098935663
a,ship,5,2,260,4,medium,f,3,5890,0,1,0.7408026914427909
c,ship,5,2,260,3,low,m,1,4799,1,0,0.7080642519928342
a,ship,5,4,152,3,low,m,1,5314,1,0,0.7127420476790474
d,ship,5,3,181,4,low,f,2,5332,0,1,0.7151625506123578
f,flight,5,1,279,8,low,f,6,5888,1,0,0.7437473141549259
d,ship,4,3,185,10,high,m,1,4973,0,1,0.7133545969108049
f,ship,5,2,279,8,low,m,5,4785,0,1,0.7093552471524471
d,ship,3,4,245,10,medium,m,1,5363,0,1,0.7779336231694751
f,ship,5,5,152,6,medium,m,2,4915,1,0,0.7044229934393401
f,ship,6,3,166,3,low,f,2,5559,0,1,0.7344516425284077
c,road,4,2,273,5,low,f,1,5012,0,1,0.7259069587426573
f,flight,5,1,211,2,medium,m,1,5913,1,0,0.7469430623463191
a,ship,5,1,197,4,low,f,2,5594,1,0,0.7444538606804892
f,ship,5,1,206,5,medium,m,2,5766,0,1,0.7618892348558245
d,ship,5,5,273,4,low,m,1,5225,1,0,0.7417482428341697
f,ship,4,5,188,5,low,f,1,5999,1,0,0.7487491002658969
d,ship,6,4,237,5,medium,f,2,5437,1,0,0.7630481114199765
a,ship,4,4,257,10,medium,m,4,4710,0,1,0.7151737295194835
f,ship,3,3,268,10,medium,m,2,5626,1,0,0.7786933479761808
d,ship,4,1,180,3,low,f,1,5677,0,1,0.722935163040893
a,ship,5,4,156,4,low,m,1,5533,1,0,0.7391847021887588
b,ship,5,2,189,3,low,f,1,5965,0,1,0.7496395803516349
d,road,4,3,257,10,medium,f,3,5881,1,0,0.7908123166455873
b,road,5,5,184,3,low,f,2,5800,0,1,0.7031978929392774
f,road,3,3,154,10,medium,f,1,5235,1,0,0.7603827543855373
a,road,4,2,245,2,low,m,1,5978,0,1,0.7346592671441797
f,flight,4,4,213,4,low,m,2,5857,1,0,0.7145939971861806
d,ship,6,2,218,6,medium,m,1,4558,1,0,0.7648391076559687
f,ship,6,1,251,4,low,m,2,5656,0,1,0.7796437880421354
f,ship,3,5,271,4,medium,m,1,5852,1,0,0.7147376144203317
d,road,3,2,269,4,medium,m,1,5797,0,1,0.7281429670715256
d,road,4,2,237,3,low,m,1,5114,0,1,0.7033836556574307
f,road,6,1,247,3,low,m,1,4637,1,0,0.7416419178833847
d,flight,5,1,160,5,low,f,1,4672,0,1,0.7261245276534716
f,ship,5,2,229,3,low,m,1,5189,1,0,0.7318111852780841
f,ship,5,1,248,8,low,f,2,4023,1,0,0.738688758132392
d,ship,5,4,243,6,medium,f,1,4170,1,0,0.7165035330309382
a,ship,6,2,144,7,high,m,1,5501,0,1,0.7451656426451766
f,road,6,1,139,5,medium,m,1,4243,0,1,0.7256769253744397
d,ship,4,2,272,4,low,m,3,5566,0,1,0.7022612694084035
a,ship,6,3,100,4,low,m,3,5756,0,1,0.7248551863922621
f,ship,4,3,257,3,low,f,1,5843,0,1,0.7372697817325369
f,ship,5,4,264,3,medium,m,2,5716,0,1,0.7276360956027669
c,road,6,5,220,3,medium,m,1,5508,0,1,0.7404684033653214
d,flight,5,4,286,5,low,f,3,5208,0,1,0.7185642230063167
d,ship,6,2,271,10,medium,f,2,4145,0,1,0.7908714021219961
f,ship,4,1,249,10,medium,m,7,5580,1,0,0.7006947387912261
b,ship,6,1,271,10,medium,m,5,5459,0,1,0.7836982227018519
a,ship,6,2,246,6,low,f,1,4846,0,1,0.7882460896821266
c,ship,4,4,249,10,medium,f,2,4190,0,1,0.7191949269532291
f,ship,5,4,255,6,low,m,3,4638,0,1,0.7005474014786385
c,ship,5,3,198,4,medium,m,2,5316,0,1,0.70233869027955
f,ship,5,1,277,4,low,m,2,5496,0,1,0.7541134515319572
d,ship,4,3,144,3,low,m,1,5881,0,1,0.7140208028330696
f,road,5,1,172,5,medium,f,1,4730,0,1,0.7296648688247966
c,ship,4,2,193,2,medium,f,1,5909,0,1,0.7004286701182375
f,ship,6,4,218,6,medium,m,1,4625,1,0,0.7583537576901463
f,ship,6,1,237,5,high,m,2,5364,0,1,0.7092279181633481
b,ship,4,3,198,3,medium,f,1,5846,1,0,0.7105071817958036
d,ship,6,5,213,4,medium,f,3,5549,0,1,0.7220790884680851
d,ship,5,4,171,5,medium,m,1,5749,0,1,0.7597070311481184
f,ship,6,4,210,5,medium,m,2,4651,0,1,0.7216554467786218
a,road,4,2,223,4,low,m,2,5709,0,1,0.7249636992425629
c,road,6,2,263,6,low,f,4,4591,1,0,0.7040914761275454
f,road,6,1,174,10,medium,f,1,5784,1,0,0.8533805775235228
a,road,3,1,219,8,low,f,1,4122,1,0,0.7096891711074038
a,ship,3,1,219,8,low,m,2,5334,0,1,0.7443820275463309
c,ship,3,2,255,7,low,f,3,5936,0,1,0.7244229413554706
f,ship,4,2,262,4,low,m,2,5311,0,1,0.7109332461085585
b,ship,4,1,166,5,low,f,1,5463,1,0,0.7303713317570975
b,ship,6,3,213,4,low,f,2,5349,0,1,0.7398474477183989
f,ship,4,2,192,4,medium,f,2,5503,0,1,0.7002883754672606
b,road,5,2,272,2,low,f,1,5412,0,1,0.727663566650078
d,ship,5,3,217,4,low,m,3,5718,1,0,0.7191923373071469
f,ship,4,4,201,5,medium,m,3,5901,1,0,0.7035543348814728
b,ship,6,3,274,6,medium,f,2,4281,0,1,0.7286034149332529
a,ship,5,3,199,10,medium,f,1,5865,0,1,0.8363374752351502
c,ship,5,4,272,2,low,f,1,5983,1,0,0.7415446422066931
b,road,6,3,274,6,medium,f,1,4632,0,1,0.7663518249725241
c,ship,6,4,260,5,medium,m,2,4687,1,0,0.7227295126986376
a,ship,4,4,238,5,low,m,1,4753,0,1,0.7083899070944597
a,ship,5,4,250,6,low,f,1,4343,0,1,0.7333057489566059
c,ship,4,1,161,6,low,f,2,5734,0,1,0.7331823320355475
f,flight,5,4,240,4,medium,f,2,5215,0,1,0.7122074382526226
f,ship,6,1,257,4,medium,f,3,5656,1,0,0.7572090276522582
d,ship,4,1,273,4,low,m,1,4857,0,1,0.7192034204563319
f,ship,5,2,206,2,medium,f,2,5627,1,0,0.7057689477527154
d,ship,5,3,241,3,low,f,2,5587,1,0,0.7254797969891206
f,ship,3,1,217,4,medium,f,1,5761,1,0,0.7199376076706457
a,ship,5,4,181,5,medium,m,2,5324,0,1,0.7235857808829357
b,ship,5,3,222,2,low,f,2,5953,1,0,0.7140139964659857
b,ship,5,1,257,4,medium,m,1,4924,0,1,0.7318359958126355
f,ship,5,1,171,5,medium,f,2,5921,1,0,0.7616553103511826
d,ship,4,1,231,2,low,f,1,5917,1,0,0.7304255405133058
f,ship,3,4,284,10,low,m,5,5479,0,1,0.710280775000168
d,ship,4,1,139,3,low,f,1,5502,1,0,0.7051505002085503
c,ship,5,5,230,10,high,f,3,5391,0,1,0.7026135002960943
f,ship,5,1,203,5,medium,m,2,4845,0,1,0.7188239205616399
a,ship,4,4,252,3,medium,m,1,5676,1,0,0.7215612645804289
b,road,4,2,252,6,medium,m,2,5476,0,1,0.7338729954158532
f,flight,5,1,162,3,medium,f,1,5537,0,1,0.7338426186913373
f,flight,5,2,254,5,medium,f,2,5655,1,0,0.7607214457842926
c,ship,4,3,279,6,medium,m,2,5405,0,1,0.7286650516324873
c,ship,6,5,201,5,medium,m,3,5771,0,1,0.7338531384677127
b,ship,5,4,237,6,medium,m,2,4541,0,1,0.7004491136813756
a,flight,6,1,157,6,low,m,1,4631,1,0,0.7659753804211556
f,flight,4,1,259,7,medium,f,4,5102,0,1,0.7006060515459314
f,ship,5,3,193,5,medium,m,3,5888,0,1,0.7334486960131323
a,ship,4,2,272,3,medium,f,1,4933,1,0,0.7004160714762105
a,ship,5,4,215,2,low,f,1,5669,0,1,0.7285476099579901
f,ship,5,4,261,6,medium,f,4,5349,0,1,0.709810056474996
a,flight,5,4,236,3,medium,f,1,5711,0,1,0.7446485581304304
a,flight,5,5,175,6,medium,f,2,4995,1,0,0.7150745744867969
b,flight,6,2,256,3,medium,m,1,4435,1,0,0.7129921679855503
f,ship,4,1,209,4,medium,f,1,5057,0,1,0.710832236388679
f,ship,4,2,246,3,low,f,1,5815,1,0,0.7387974145634677
f,ship,5,4,229,3,low,m,1,5660,0,1,0.743352432580781
f,road,4,1,242,2,low,f,2,5825,0,1,0.7067420035149077
b,ship,5,5,247,3,low,m,1,5226,0,1,0.7115430379479096
a,ship,6,4,197,5,medium,m,4,5889,1,0,0.7357226145757364
a,ship,5,2,229,2,medium,m,1,5724,0,1,0.7405797228777153
a,road,4,3,203,4,low,f,1,5274,0,1,0.7167632812506063
a,ship,4,2,272,2,low,f,1,5939,1,0,0.7379117679021426
b,ship,4,3,198,7,medium,f,1,5315,0,1,0.7454356975002856
f,ship,5,1,233,7,medium,f,5,5759,1,0,0.7322120598711642
c,ship,5,5,175,6,low,f,2,4883,1,0,0.7001712048255789
a,ship,5,2,171,6,medium,f,5,5981,1,0,0.7112133617726984
f,ship,5,5,206,3,low,m,1,5520,0,1,0.7266764095475319
b,road,5,4,269,2,medium,f,2,5962,0,1,0.7161307765640105
c,flight,6,3,275,6,low,m,4,4875,0,1,0.7134250844192241
f,ship,4,5,201,8,medium,f,4,5472,1,0,0.700605730385442
b,ship,5,3,145,3,medium,m,1,5783,1,0,0.7226255769772486
b,ship,4,2,252,3,medium,m,2,5769,0,1,0.7012125565028617
f,ship,4,1,245,3,low,m,2,5835,1,0,0.7226691937268441
d,flight,6,3,191,6,medium,f,2,4471,0,1,0.7278633045277565
f,ship,3,4,237,3,low,m,1,5980,0,1,0.7074197468516042
d,ship,4,3,236,4,medium,m,1,5783,1,0,0.7404577184453512
f,ship,6,5,261,5,low,m,1,5442,0,1,0.7866315667539647
f,road,4,2,150,4,low,f,1,5922,1,0,0.7387360725994796
c,flight,5,5,131,5,low,f,1,5299,1,0,0.7171020940798027
c,ship,6,1,196,4,medium,f,2,5844,0,1,0.7630705002125822
a,ship,5,4,216,3,medium,f,2,5404,1,0,0.704329618644225
b,ship,4,1,253,4,low,f,1,5621,0,1,0.7415687667486275
a,ship,3,2,261,8,low,f,3,5171,0,1,0.7184528302453731
d,ship,4,1,155,5,low,f,1,5986,0,1,0.7609298854132607
b,ship,6,2,168,2,low,m,3,5853,0,1,0.706606988157559
a,ship,4,2,185,3,medium,m,1,5338,0,1,0.7007368544567129
a,ship,4,1,200,4,medium,m,3,5837,0,1,0.7037107496849733
b,ship,3,1,266,5,low,m,1,5459,0,1,0.7256079620116634
f,road,6,1,259,3,low,f,3,5683,0,1,0.7491407725357434
f,flight,5,3,171,2,medium,f,1,5385,1,0,0.7022735438631411
b,ship,6,4,235,6,low,m,1,5533,1,0,0.7943378738811249
f,ship,5,3,253,3,low,f,3,5944,1,0,0.7231126083168512
f,ship,5,1,142,6,medium,m,1,4843,1,0,0.7425905285199
b,ship,4,4,207,10,low,f,1,4602,0,1,0.7567209896925224
b,ship,4,2,224,3,low,m,1,5821,0,1,0.7246237889991164
f,road,4,1,169,4,low,m,1,5323,0,1,0.7197493998414484
b,road,4,4,192,4,low,f,2,5856,1,0,0.7015002953125381
a,road,5,3,168,3,medium,f,2,5986,1,0,0.7281478574134228
c,road,6,5,148,4,low,m,1,5216,1,0,0.7301615330716476
b,flight,5,3,267,4,medium,f,1,4837,1,0,0.7180407883109662
c,flight,5,5,235,5,low,f,4,5908,1,0,0.7013052995318708
a,ship,6,1,103,4,low,m,2,5089,0,1,0.7266505148162559
c,ship,6,3,247,6,medium,m,3,4582,0,1,0.7127659379004017
f,ship,6,1,260,3,medium,m,1,5134,0,1,0.7620989470007068
d,ship,4,1,266,4,low,m,3,5773,1,0,0.7166518643110606
f,ship,4,3,169,6,medium,f,2,5607,0,1,0.7258449917587828
f,ship,3,3,266,7,low,m,2,5671,1,0,0.742493326888136
a,ship,3,2,182,10,low,m,1,4303,0,1,0.7346498645006289
f,road,6,5,247,6,medium,m,3,4832,0,1,0.7265748446088162
a,flight,4,3,169,6,medium,m,3,5957,1,0,0.7216100492981485
f,flight,3,3,182,10,low,m,3,5555,0,1,0.7404831263284021
a,road,5,1,268,5,medium,m,1,4704,0,1,0.751260580012345
b,ship,6,1,232,6,low,m,4,5877,0,1,0.7637772702730231
d,ship,2,5,270,6,medium,f,1,5675,0,1,0.7093414315931124
a,ship,5,1,163,3,medium,f,1,5194,0,1,0.7214899986961868
b,ship,4,2,139,8,medium,f,2,5012,1,0,0.7164835088433674
f,ship,5,3,224,2,medium,m,1,5603,0,1,0.7260455854716965
f,road,5,2,204,5,low,m,3,5723,1,0,0.7379478694854928
d,ship,5,5,203,5,medium,m,1,5356,1,0,0.7436819162416568
a,ship,5,1,256,2,medium,f,1,5352,1,0,0.7342114773230787
b,ship,5,3,150,4,medium,f,1,5211,0,1,0.7112992431234393
b,ship,5,3,245,4,low,m,1,5743,0,1,0.7602927633176986
c,ship,4,2,273,3,low,m,2,5712,0,1,0.7055753939529645
f,road,5,1,265,4,low,f,2,5416,1,0,0.7487302549690388
a,road,5,3,216,10,medium,m,4,4409,1,0,0.7244597156984938
c,ship,4,4,140,8,medium,f,2,5481,0,1,0.7268095367723023
f,ship,5,1,216,10,medium,f,2,5672,0,1,0.8222359550273247
c,ship,4,1,240,8,medium,m,1,4638,0,1,0.746246926540726
f,ship,4,5,239,3,medium,m,1,5482,1,0,0.7008939572398093
f,ship,4,1,249,6,medium,m,2,5720,1,0,0.7580895176277586
d,road,6,1,188,5,low,m,4,4887,0,1,0.7032413273130745
f,ship,6,3,170,4,low,m,1,4912,0,1,0.7416981386292409
d,ship,6,5,278,5,medium,f,2,4361,1,0,0.716973603373437
f,ship,4,4,193,3,low,m,2,5975,1,0,0.7013997330013578
f,ship,4,5,275,3,medium,m,1,5394,1,0,0.7047527890383779
b,ship,4,1,153,7,medium,f,4,5761,1,0,0.7001898278369674
b,ship,6,3,250,2,medium,f,1,4747,0,1,0.707109454260866
c,ship,4,2,204,8,low,f,1,4038,1,0,0.7086108861313477
a,ship,4,2,269,10,high,m,2,5616,1,0,0.7479172672840527
b,ship,4,1,173,4,low,f,1,5789,0,1,0.7323278253056836
d,ship,3,2,255,7,medium,m,2,5282,0,1,0.7227634481139967
c,road,5,3,258,3,medium,f,1,5719,0,1,0.7429223585997622
f,road,5,2,191,4,low,f,3,5578,0,1,0.7130409854818979
d,flight,4,1,211,3,medium,f,2,5851,0,1,0.7101965213119601
d,ship,3,2,279,6,medium,m,1,5855,0,1,0.7610761978865774
a,ship,4,2,156,4,medium,f,2,5795,1,0,0.7093503096132655
f,ship,6,1,217,4,medium,m,3,5571,0,1,0.745171863213137
f,ship,4,4,177,7,low,f,3,5646,1,0,0.7209186010793677
d,ship,5,4,266,3,low,m,2,5260,1,0,0.7097302280762919
c,ship,6,5,229,8,medium,f,2,4271,1,0,0.7360184571044565
f,ship,4,1,270,10,medium,f,5,5494,1,0,0.7460945764747645
a,flight,4,2,246,3,medium,m,1,5113,0,1,0.7022506895008985
f,ship,5,1,139,3,medium,f,1,5953,1,0,0.7492545315052423
d,ship,5,1,150,4,low,f,1,5098,0,1,0.7303047863146462
d,ship,4,4,273,2,low,m,1,5759,1,0,0.7160346430637984
b,ship,4,1,260,5,low,m,1,5559,1,0,0.7545387729694096
f,ship,3,2,199,4,medium,f,1,5660,0,1,0.7054474647379864
a,flight,5,4,274,3,low,m,1,5017,1,0,0.7242792577692793
b,flight,5,1,183,6,medium,f,2,5082,0,1,0.7299253270272381
f,flight,3,2,233,4,medium,m,1,5886,0,1,0.7229586018184398
d,ship,4,1,243,5,medium,f,1,4624,1,0,0.7124355159675682
c,ship,6,1,222,8,low,m,2,4914,0,1,0.7857169532086647
f,ship,3,4,251,10,medium,f,2,4336,1,0,0.7115482367723103
a,ship,3,4,195,10,low,m,5,5950,1,0,0.716055445543982
f,ship,6,4,222,8,low,f,1,5808,1,0,0.8326435619407705
f,ship,5,1,259,3,low,m,1,5725,0,1,0.7671436214739592
f,ship,6,3,267,4,medium,m,2,5917,1,0,0.7807544657454272
f,ship,5,1,176,3,low,m,3,5919,0,1,0.7155905562085155
a,ship,5,4,255,3,low,f,1,5775,1,0,0.7563434272355049
c,ship,5,5,242,4,medium,f,2,5359,0,1,0.7034410735035682
a,ship,4,3,228,3,medium,f,1,5408,1,0,0.7085176840971653
f,ship,5,1,193,6,medium,f,4,5964,0,1,0.7402925165855904
b,road,5,3,197,5,low,f,1,5581,0,1,0.7580809198380477
f,flight,5,2,226,3,medium,f,1,5451,0,1,0.7383172279918419
d,ship,4,4,263,3,medium,m,1,5283,1,0,0.7016701236926457
d,ship,3,2,138,10,low,m,1,5721,1,0,0.7851100267114951
b,ship,6,3,137,8,low,f,6,5992,1,0,0.7251895970944126
f,ship,3,5,203,10,medium,f,1,4996,0,1,0.7491835551270283
d,ship,4,4,266,7,medium,m,3,5672,1,0,0.7371469378437077
c,ship,4,5,201,3,low,f,1,5898,1,0,0.7050948392926429
f,ship,4,1,171,2,medium,f,1,5717,0,1,0.7035081903066503
f,ship,6,5,150,3,medium,m,3,5747,0,1,0.7023804089292894
a,ship,4,5,243,4,low,f,1,5328,0,1,0.7167492700884136
a,ship,6,2,130,5,low,m,3,5654,0,1,0.7464803267498397
f,road,6,3,171,3,low,f,1,4952,0,1,0.7296980508925097
d,road,6,2,240,6,low,m,3,5967,1,0,0.7926535654642364
d,flight,5,5,169,3,medium,m,2,5942,1,0,0.7105770130030793
f,ship,3,5,150,10,low,m,2,5042,0,1,0.7221049215754067
d,ship,2,5,204,10,low,f,1,4709,0,1,0.7134183489853214
f,ship,5,5,140,8,medium,m,2,4793,1,0,0.7267083304234877
f,ship,5,3,255,6,medium,f,1,5874,0,1,0.7986502226228293
f,ship,3,2,113,5,medium,m,1,5993,0,1,0.7180342946083634
c,ship,4,3,257,3,medium,m,1,5717,1,0,0.7156403853204063
c,ship,5,3,273,4,medium,m,1,5119,0,1,0.7322529072448083
b,road,6,1,237,5,medium,m,3,5299,1,0,0.7426663344208164
f,road,6,3,199,4,medium,f,1,5204,0,1,0.7576931508161012
f,road,6,5,167,3,low,f,2,5761,1,0,0.7344004409779707
a,flight,4,5,196,5,low,f,2,5840,0,1,0.722593446030691
c,flight,4,5,233,6,medium,m,1,5284,0,1,0.7233841342701456
f,ship,6,1,141,3,low,f,2,5144,0,1,0.7198332316380316
f,ship,4,2,252,4,low,m,1,4705,1,0,0.7017897053530012
f,ship,6,2,191,5,low,m,1,4314,0,1,0.7382857465265324
b,ship,4,1,233,6,medium,f,2,5406,0,1,0.7310173416569645
d,ship,4,4,167,4,low,m,2,5908,1,0,0.7075787646396701
a,ship,4,5,199,4,medium,m,1,5585,1,0,0.715317814629141
d,ship,5,4,273,2,low,f,1,5008,1,0,0.7063391455616539
a,ship,4,2,144,5,low,f,3,5807,1,0,0.7038816521853974
f,ship,3,1,274,4,low,m,3,5979,0,1,0.7015546202167557
a,road,6,5,248,3,low,f,3,5709,1,0,0.7299423599693091
c,flight,6,1,215,4,low,m,1,4581,1,0,0.7338306231634875
c,ship,4,1,272,2,low,m,1,5666,0,1,0.7160538593264927
d,ship,5,2,137,3,low,f,1,5242,0,1,0.7137571183051394
f,ship,5,2,192,7,medium,m,2,4045,1,0,0.7026105562869053
f,ship,5,5,266,10,high,f,2,5890,0,1,0.7667226321565735
b,flight,4,1,154,4,medium,m,1,5480,0,1,0.7078939184971235
d,ship,5,1,238,5,low,f,5,5854,0,1,0.7111244860659117
f,ship,6,5,211,6,low,m,3,4957,0,1,0.7279948799548418
d,ship,5,5,210,6,low,m,3,5051,0,1,0.7049936362595813
b,ship,5,1,229,4,medium,m,1,4584,1,0,0.7092040309503747
f,ship,5,4,143,2,low,m,1,5872,1,0,0.7198549884703044
f,flight,4,4,160,4,low,m,1,5520,1,0,0.7090958580364328
b,flight,4,2,272,2,low,m,1,5703,1,0,0.713024323269662
d,flight,6,1,173,3,medium,f,2,4892,0,1,0.7089921767149606
d,ship,3,1,271,3,medium,m,1,5486,1,0,0.7026342140761215
d,ship,6,2,173,3,medium,f,4,5970,0,1,0.711693169713432
f,ship,5,4,266,2,medium,m,1,5494,0,1,0.7247127129697736
a,flight,5,3,187,3,low,m,2,5967,0,1,0.7335055859236158
f,ship,5,5,207,4,low,f,1,5035,0,1,0.7187950398481818
f,ship,5,3,229,2,medium,f,1,5294,1,0,0.7121730764653424
d,ship,5,5,240,2,low,f,2,5655,0,1,0.7021526343027493
c,ship,5,1,126,5,medium,f,2,5659,1,0,0.729299138914108
f,ship,4,4,221,4,low,f,2,5595,1,0,0.7046527032288168
c,ship,4,4,249,3,medium,f,1,5743,0,1,0.7096437353615167
c,road,5,4,179,6,medium,m,1,5433,0,1,0.7515609798241961
a,road,6,2,269,6,medium,m,4,4423,0,1,0.7076780203101833
a,road,5,1,151,3,medium,f,1,4981,0,1,0.7091193442114576
b,road,5,4,208,8,medium,f,4,5155,1,0,0.7100739398627726
c,road,6,2,137,10,low,f,5,4510,0,1,0.7110398649365945
f,ship,5,3,179,6,medium,m,1,4930,1,0,0.7441438274003096
c,ship,4,1,162,6,low,m,1,5525,1,0,0.7453877464221935
f,ship,6,1,269,6,medium,f,2,5363,0,1,0.7932674766111805
f,ship,6,2,137,10,low,f,4,4490,0,1,0.7432175179843263
f,ship,5,3,284,5,medium,f,4,5343,1,0,0.7045447589217873
b,road,5,5,232,5,low,f,2,5561,0,1,0.733024911901225
f,road,4,1,160,2,medium,m,1,5741,1,0,0.7029341333891989
c,flight,4,3,176,5,low,m,2,5751,1,0,0.7101455867478033
a,ship,4,4,134,5,medium,m,2,5865,1,0,0.7124676273058453
d,ship,5,4,161,5,medium,m,1,5779,1,0,0.759012968160429
a,ship,6,5,287,5,low,m,2,5611,1,0,0.7815223663819985
a,ship,3,2,259,6,medium,m,1,5873,0,1,0.7605335655364225
d,ship,5,2,241,2,medium,f,2,5448,0,1,0.7044971077632254
f,ship,4,2,265,3,medium,f,1,5385,0,1,0.7185029681833995
a,road,4,1,170,10,medium,f,3,5211,1,0,0.7579371205503241
f,road,4,2,189,10,medium,f,5,5470,0,1,0.723098133571747
f,ship,4,2,170,10,medium,f,4,4696,1,0,0.7030720868694184
a,ship,5,4,171,3,low,f,1,5011,0,1,0.7020108394534276
b,ship,4,4,146,10,low,m,1,4351,0,1,0.7325137839577546
c,ship,4,1,189,10,medium,f,2,4505,1,0,0.7369684716897165
a,road,4,1,204,6,low,m,1,4943,0,1,0.7418431320690134
c,road,6,1,235,6,medium,m,3,5591,0,1,0.7676254248854825
b,flight,5,1,202,4,low,f,2,5748,0,1,0.7394980720815618
d,ship,5,2,176,4,low,m,1,5810,0,1,0.7629635667581202
f,ship,3,3,176,8,medium,f,1,4895,1,0,0.7194491875942682
c,ship,5,1,251,4,low,m,1,5011,1,0,0.7368655978534326
b,flight,6,5,258,5,low,f,1,5376,0,1,0.7738686107537818
a,flight,5,2,264,8,high,m,2,5252,1,0,0.7250917189684161
